osm_id,code,fclass,name,LAT,LONG
246397026,5601,railway_station,Bangalore Cantonment,"077° 35' 52.8""""  ","12° 59' 37.27"""" "
248543525,5601,railway_station,Bisanattam,"078° 14' 59.49""""  ","12° 50' 32.08"""" "
253454039,5601,railway_station,Bengaluru  East,"077° 37' 6.04""""  ","13° 00' 4.13"""" "
298609247,5601,railway_station,Mangaluru Junction,"074° 52' 45.23""""  ","12° 51' 59.86"""" "
298611723,5601,railway_station,Mulki,"074° 48' 18.98""""  ","13° 04' 8.25"""" "
300062249,5601,railway_station,Padil,"074° 53' 39.7""""  ","12° 52' 31.07"""" "
308061696,5601,railway_station,Hejjala,"077° 25' 5.98""""  ","12° 50' 54.28"""" "
308062102,5601,railway_station,Kengeri,"077° 29' 1.52""""  ","12° 55' 3.57"""" "
308062851,5601,railway_station,Nayandahalli,"077° 31' 16.36""""  ","12° 56' 28.77"""" "
308073351,5601,railway_station,Chikka Banavara,"077° 30' 20.29""""  ","13° 04' 28.84"""" "
338274462,5601,railway_station,Yelahanka Junction,"077° 35' 30.82""""  ","13° 06' 18.02"""" "
389475236,5601,railway_station,Thondebhavi,"077° 30' 53.84""""  ","13° 30' 14.37"""" "
389475413,5601,railway_station,Hirehalli,"077° 11' 19.62""""  ","13° 16' 50.39"""" "
389475419,5601,railway_station,Kyatsandra,"077° 08' 51.89""""  ","13° 18' 56.2"""" "
443807288,5601,railway_station,Banaswadi,"077° 37' 41.28""""  ","13° 00' 21.01"""" "
443811552,5601,railway_station,Channasandra,"077° 39' 46.13""""  ","13° 00' 42.68"""" "
553051322,5601,railway_station,Chamarajapuram,"076° 38' 16.3""""  ","12° 17' 53.36"""" "
571578291,5601,railway_station,Padubidri,"074° 46' 5.03""""  ","13° 11' 49.16"""" "
571579127,5601,railway_station,Bhatkal,"074° 33' 56.27""""  ","13° 59' 21.68"""" "
571579771,5601,railway_station,Karwar,"074° 10' 57.33""""  ","14° 49' 12.89"""" "
582437498,5601,railway_station,Belagavi,"074° 30' 32.2""""  ","15° 50' 56.6"""" "
617332502,5601,railway_station,Ramanagaram,"077° 17' 1.46""""  ","12° 43' 15.77"""" "
653938640,5601,railway_station,Maddur,"077° 02' 58.92""""  ","12° 36' 16.82"""" "
654115832,5601,railway_station,Londa Junction,"074° 29' 43.79""""  ","15° 26' 56.22"""" "
654125698,5601,railway_station,Alnavar Junction,"074° 44' 17.89""""  ","15° 25' 28.24"""" "
654130310,5601,railway_station,Kundgol,"075° 15' 0.16""""  ","15° 15' 31.98"""" "
654132674,5601,railway_station,Ranebennuru,"075° 38' 8.61""""  ","14° 37' 33.2"""" "
654140148,5601,railway_station,Sambre,"074° 34' 37.95""""  ","15° 53' 3.54"""" "
654209479,5601,railway_station,Bhanapur,"076° 02' 20.3""""  ","15° 23' 11.65"""" "
655264344,5601,railway_station,Guledgudda Road,"075° 41' 40.4""""  ","16° 04' 2.3"""" "
655264380,5601,railway_station,Bagalkot,"075° 41' 59.75""""  ","16° 10' 45.56"""" "
655290802,5601,railway_station,Almatti,"075° 54' 4.41""""  ","16° 20' 42.17"""" "
655301239,5601,railway_station,Vijayapura,"075° 44' 22.12""""  ","16° 49' 49.3"""" "
659537076,5601,railway_station,Chitradurga,"076° 23' 11.3""""  ","14° 13' 50.87"""" "
666623896,5601,railway_station,Shrirangapattana,"076° 40' 40.34""""  ","12° 25' 26.92"""" "
667473810,5601,railway_station,Channarayapatna,"076° 23' 38.27""""  ","12° 53' 33.77"""" "
669015914,5601,railway_station,Dharwad,"075° 00' 6.97""""  ","15° 26' 32.77"""" "
670960045,5601,railway_station,Bantawal,"075° 02' 2.73""""  ","12° 52' 41.4"""" "
672726408,5601,railway_station,Minchnal,"075° 49' 18.42""""  ","16° 58' 14.02"""" "
672865414,5601,railway_station,Basavana Bagewadi Road,"075° 49' 41.83""""  ","16° 28' 49.08"""" "
687187136,5601,railway_station,Yadgir,"077° 07' 46.93""""  ","16° 44' 40.74"""" "
687187467,5601,railway_station,Shahabad,"076° 56' 36.23""""  ","17° 07' 18.96"""" "
687777818,5601,railway_station,Nanjangud Town,"076° 41' 3.63""""  ","12° 07' 19.45"""" "
695074547,5601,railway_station,Heelalige,"077° 42' 39.86""""  ","12° 48' 47.84"""" "
695086486,5601,railway_station,Anekal Road,"077° 42' 37.91""""  ","12° 43' 24.99"""" "
701554068,5601,railway_station,Nimbal,"075° 51' 37.21""""  ","17° 07' 7.66"""" "
702374965,5601,railway_station,Bidar,"077° 30' 55.56""""  ","17° 54' 42.79"""" "
706967230,5601,railway_station,Kolar,"078° 07' 58.54""""  ","13° 07' 26.37"""" "
707061042,5601,railway_station,Chamarajanagar,"076° 55' 58.16""""  ","11° 56' 4.56"""" "
707126837,5601,railway_station,Kabaka Puttur,"075° 12' 17.01""""  ","12° 46' 7.37"""" "
707126938,5601,railway_station,Kadagaravalli,"075° 41' 45.65""""  ","12° 50' 16.94"""" "
707127170,5601,railway_station,Yedekumeri,"075° 39' 50.4""""  ","12° 49' 23.61"""" "
707132579,5601,railway_station,Munirabad,"076° 20' 10.98""""  ","15° 18' 28.83"""" "
707255911,5601,railway_station,Talaguppa,"074° 54' 51.87""""  ","14° 12' 51.52"""" "
710027160,5601,railway_station,Khanapur Junction,"077° 23' 3.2""""  ","17° 56' 33.0"""" "
718549537,5601,railway_station,Chikjajur Junction,"076° 08' 23.62""""  ","14° 07' 25.76"""" "
737744285,5601,railway_station,Chikballapur,"077° 43' 55.72""""  ","13° 25' 38.79"""" "
738268653,5601,railway_station,Hagari Bommanahalli,"076° 12' 31.36""""  ","15° 02' 59.99"""" "
738268811,5601,railway_station,Kotturu,"076° 12' 44.5""""  ","14° 49' 31.67"""" "
738269167,5601,railway_station,Ranjitpura,"076° 35' 58.39""""  ","15° 03' 22.0"""" "
738274019,5601,railway_station,Swamihalli,"076° 36' 32.05""""  ","14° 58' 34.14"""" "
738274431,5601,railway_station,Yeshwanthnagar,"076° 30' 9.75""""  ","15° 02' 21.52"""" "
794150286,5601,railway_station,Gubbi,"076° 56' 19.52""""  ","13° 19' 17.07"""" "
795583901,5601,railway_station,Sedam,"077° 17' 8.5""""  ","17° 10' 52.35"""" "
841763375,5601,railway_station,Dodballapur,"077° 33' 1.82""""  ","13° 16' 46.88"""" "
853082530,5601,railway_station,Mallasandra,"077° 00' 55.58""""  ","13° 20' 5.9"""" "
853131485,5601,railway_station,Tumakuru,"077° 06' 7.05""""  ","13° 20' 2.04"""" "
962987530,5601,railway_station,Davanagere,"075° 55' 10.45""""  ","14° 28' 4.73"""" "
992634868,5601,railway_station,Ashokapuram,"076° 38' 9.64""""  ","12° 16' 26.72"""" "
992989867,5601,railway_station,Krishnarajasagara,"076° 34' 1.84""""  ","12° 24' 3.74"""" "
993005071,5601,railway_station,Naganahalli,"076° 39' 2.79""""  ","12° 22' 43.06"""" "
1074968410,5601,railway_station,Nalwar,"077° 01' 9.99""""  ","16° 56' 9.71"""" "
1102564020,5601,railway_station,Bhadravati,"075° 42' 12.49""""  ","13° 50' 33.51"""" "
1110586299,5601,railway_station,Devangonthi,"077° 49' 52.66""""  ","12° 59' 6.53"""" "
1126574956,5601,railway_station,Raichur,"077° 20' 20.39""""  ","16° 11' 34.09"""" "
1134275133,5601,railway_station,Gauribidanur,"077° 30' 47.29""""  ","13° 36' 48.42"""" "
1153239543,5601,railway_station,Talaku,"076° 40' 30.26""""  ","14° 26' 45.9"""" "
1153239740,5601,railway_station,Molakalmuru,"076° 44' 46.39""""  ","14° 42' 34.71"""" "
1153239883,5601,railway_station,Arsikere Junction,"076° 15' 11.52""""  ","13° 18' 49.62"""" "
1153239903,5601,railway_station,Daroji,"076° 42' 4.01""""  ","15° 13' 35.98"""" "
1153239943,5601,railway_station,Toranagallu Junction,"076° 39' 47.31""""  ","15° 12' 10.56"""" "
1153239946,5601,railway_station,Challakere,"076° 39' 35.76""""  ","14° 18' 54.8"""" "
1153240249,5601,railway_station,Gadiganuru,"076° 35' 57.24""""  ","15° 13' 6.77"""" "
1153255888,5601,railway_station,Koppala,"076° 08' 41.66""""  ","15° 21' 13.93"""" "
1172868014,5601,railway_station,Kadur Junction,"076° 00' 31.33""""  ","13° 33' 0.9"""" "
1172868016,5601,railway_station,Chikkamagaluru,"075° 47' 19.38""""  ","13° 18' 11.57"""" "
1177155562,5601,railway_station,Baiyyappanahalli Junction,"077° 39' 6.17""""  ","12° 59' 28.35"""" "
1177705836,5601,railway_station,Whitefield,"077° 45' 41.12""""  ","12° 59' 47.04"""" "
1191359734,5601,railway_station,Khanapur,"074° 29' 58.93""""  ","15° 38' 15.99"""" "
1225732184,5601,railway_station,Ambewadi,"074° 37' 2.76""""  ","15° 16' 22.48"""" "
1282829831,5601,railway_station,Devanahalli,"077° 42' 19.47""""  ","13° 14' 51.15"""" "
1365827451,5601,railway_station,Kadakola,"076° 39' 49.99""""  ","12° 11' 26.95"""" "
1368272943,5601,railway_station,Sagar Jambagaru,"075° 01' 24.65""""  ","14° 10' 12.3"""" "
1377759098,5601,railway_station,Navalur,"075° 03' 22.33""""  ","15° 24' 54.76"""" "
1384237103,5601,railway_station,Kumta,"074° 25' 16.48""""  ","14° 26' 14.07"""" "
